AC/DC,For Those About To Rock,Rock,1980s
AC/DC,Fly On The Wall,Rock,1980s
AC/DC,Flick Of The Switch,Rock,1980s
AC/DC,Rock Or Bust,Rock,2010s
AC/DC,Black Ice,Rock,2000s
AC/DC,Back In Black,Rock,1980s
AC/DC,Who Made Who,Rock,1980s
Alter Bridge,Fortress,Rock,2010s
Arctic Monkeys,Teddy Picker,Rock,2000s
Arctic Monkeys,AM,Rock,2010s
Arctic Monkeys,Whatever People Say I Am That's What I'm Not,Rock,2000s
Arctic Monkeys,Suck It And See,Rock,2010s
Bass Drum Of Death,Rip This ,Rock,2010s
Biffy Clyro,Vertigo Of Bliss,Rock,2000s
Buddy Holly,Buddy Holly Lives,Rock and Roll,1960s
David Bowie,Hunky Dory,Pop,1970s
Def Leppard,Hysteria,Rock,1980s
Eagles Of Death Metal,Zipper Down,Rock,2010s
Eminem,Slim Shady LP,Rap,2000s
Fidlar,Fidlar,Punk,2010s
Fidlar ,Too,Punk,2010s
Fleetwod Mac,Tango In The Night,Pop,1980s
Green Day,Dos,Punk,2010s
Green Day,21st Century Breakdown,Punk,2000s
Green Day,Demolicious,Punk,2010s
Green Day,Nimrod,Punk,1990s
Green Day,Kerplunk,Punk,1990s
Green Day,39 Smooth,Punk,1990s
Guns N Roses,Appetite For Destruction,Rock,1980s
Iron Maiden,Powerslave,Rock,1980s
John Lennon,Imagine Movie Soundtrack,Pop,1970s
King Gizzard And The Lizzard wizzard,Paper Mache Dream Boat,Psyche,2010s
Led Zeppelin,4,Rock,1970s
Led Zeppelin,4 Special Edition,Rock,1970s
Michael Jackson,Thriller,Pop,1980s
Nirvana,Bleach,Grunge,1990s
Paul McCartney,All The Best,Pop,1970s
Pinhead Gunpowder,Shoot The Moon,Punk,1990s
Pink Floyd,The Wall,Prog,1970s
Queen,A Kind Of Magic,Pop,1980s
Queen,Live Magic,Pop,1980s
Queens Of The Stone Age,Rated X,Rock,2000s
Rolling Stones ,Undercover,Rock,1970s
Seventh Son,Spirit World,Rock,2000s
Slade,Smashes,Rock,1970s
Slaves,Take Control,Punk,2010s
Slaves,Are You Satisfied,Punk,2010s
The Beatles,With The Beatles,Pop,1960s
The Beatles,The White Album,Pop,1960s
The Beatles,The Red Album,Pop,1960s
The Beatles,The Blue Album,Pop,1960s
The Beatles,Sgt. Pepper's Lonely Heart Club Band,Pop,1960s
The Beatles,A Hard Day's Night,Pop,1960s
The Beatles,Magical Mystery Tour,Pop,1960s
The Clash,Combat Rock,Punk,1970s
The Cure,The Head On The Door,Post Punk,1980s
The Jam,This Is The Modern World,Punk,1980s
The Last Shadow Puppets,Everything You've Come To Expect,Rock,2010s
The Libertines,Anthems For Doomed Youth,Rock,2010s
The Libertines,Up The Bracket,Rock,2000s
The Smiths,Hateful Of Hollow,Pop,1980s
The Smiths,The Queen Is Dead,Pop,1980s
The Smiths,Louder Than Bombs,Pop,1980s
The Smiths,The Smiths,Pop,1980s
The Smiths,Strangeways Here We come,Pop,1980s
U2,War,Rock,1980s
Whitesnake,Whitesnake,Rock,1980s
Wings,Band On The Run,Pop,1970s
